'	exclamation	lex112884.1_ἒ
ἐντελὲς	adjective	http://data.perseus.org/collections/_ἐντελής
ἐντελές	adjective	http://data.perseus.org/collections/_ἐντελής
ἐντελέστερον	adjective	http://data.perseus.org/collections/_ἐντελής
ἐντελὴς	adjective	http://data.perseus.org/collections/_ἐντελής
ἐντελῆ	adjective	http://data.perseus.org/collections/_ἐντελής
ἐντελῆς	verb	http://data.perseus.org/collections/_ἐντελέω
ἐντελῆς	verb	http://data.perseus.org/collections/_ἐντέλλω
ἐντελῆς	adjective	http://data.perseus.org/collections/_ἐντελής
ἐντελῶς	adjective	http://data.perseus.org/collections/_ἐντελής
ἐντεταγμένον	verb	http://data.perseus.org/collections/_ἐντάσσω
ἐντευξόμενον	verb	http://data.perseus.org/collections/_ἐντυγχάνω
ἐντείνας	verb	http://data.perseus.org/collections/_ἐντείνω
ἐντεῦθεν	adverb	http://data.perseus.org/collections/_ἐντεῦθεν
ἐντιθέντα	verb	http://data.perseus.org/collections/_ἐντίθημι
ἐντολή	noun	http://data.perseus.org/collections/_ἐντολή
ἐντολήν	noun	http://data.perseus.org/collections/_ἐντολή
ἐντολὰς	noun	http://data.perseus.org/collections/_ἐντολή
ἐντολὴ	noun	http://data.perseus.org/collections/_ἐντολή
ἐντολῇ	noun	http://data.perseus.org/collections/_ἐντολή
ἐντολῇ	noun	http://data.perseus.org/collections/_ἐντολεύς
ἐντολῶν	noun	http://data.perseus.org/collections/_ἐντολή
ἐντομίαν	noun	http://data.perseus.org/collections/_ἐντομίας
ἐντομήν	noun	http://data.perseus.org/collections/_ἐντομή
ἐντοσθιδίων	noun	http://data.perseus.org/collections/_ἐντοσθίδια
ἐντρεχέστατος	adjective	http://data.perseus.org/collections/_ἐντρεχής
ἐντριβῇ	verb	http://data.perseus.org/collections/_ἐντρίβω
ἐντροπὴ	noun	http://data.perseus.org/collections/_ἐντροπή
ἐντίθεται	verb	http://data.perseus.org/collections/_ἐντίθημι
ἐντὸς	adverb	http://data.perseus.org/collections/_ἐντός
ἐνυβρίζων	verb	http://data.perseus.org/collections/_ἐνυβρίζω
ἐνφέρεσθαι	verb	http://data.perseus.org/collections/_ἐμφέρω
ἐνωπήν	noun	http://data.perseus.org/collections/_ἐνωπή
ἐνωπὴν	noun	http://data.perseus.org/collections/_ἐνωπή
ἐνόει	verb	http://data.perseus.org/collections/_νοέω
ἐνόεον	verb	http://data.perseus.org/collections/_νοέω
ἐνόησε	verb	http://data.perseus.org/collections/_νοέω
ἐνόησεν	verb	http://data.perseus.org/collections/_νοέω
ἐνόμισαν	verb	http://data.perseus.org/collections/_νομίζω
ἐνόρουσαν	verb	http://data.perseus.org/collections/_ἐνορούω
ἐνύδρων	adjective	http://data.perseus.org/collections/_ἔνυδρος
ἐνώτια	noun	http://data.perseus.org/collections/_ἐνώτιον
ἐνάριζε	verb	http://data.perseus.org/collections/_ἐναρίζω
έν	verb	lex23940.1_εἰμί
ἐνέβαλεν	verb	http://data.perseus.org/collections/_ἐμβάλλω
ἐνέγραψεν	verb	http://data.perseus.org/collections/_ἐγγράφω
ἐνέδη	verb	http://data.perseus.org/collections/_ἐνδέω1
ἐνέδη	verb	http://data.perseus.org/collections/_ἐνδέω2
ἐνέδραν	noun	http://data.perseus.org/collections/_ἐνέδρα
ἐνέδραν	verb	http://data.perseus.org/collections/_ἐνιδρόω
ἐνέργειαν	noun	http://data.perseus.org/collections/_ἐνέργεια
ἐνήλλακται	verb	http://data.perseus.org/collections/_ἐναλλάσσω
ἐνήλλαχεν	verb	http://data.perseus.org/collections/_ἐναλλάσσω
ἐνὶ	preposition	http://data.perseus.org/collections/_ἐν
ἐνίαις	adjective	http://data.perseus.org/collections/_ἔνιοι
ἐνίκησαν	verb	http://data.perseus.org/collections/_νικάω
ἐνίκησε	verb	http://data.perseus.org/collections/_νικάω
ἐνίοις	verb	http://data.perseus.org/collections/_ἔνειμι
ἐνίοις	adjective	http://data.perseus.org/collections/_ἔνιοι
ἐνίοτε	adverb	http://data.perseus.org/collections/_ἐνίοτε
ἐνόησεν	verb	http://data.perseus.org/collections/_νοέω
ἐνόμισαν	verb	http://data.perseus.org/collections/_νομίζω
ἐνόμισεν	verb	http://data.perseus.org/collections/_νομίζω
ἐνόπλους	adjective	http://data.perseus.org/collections/_ἔνοπλος
ἐνύπνιον	noun	lex106026.1_ἐνύπνιον
ἐνύπνιον	adjective	lex106027.1_ἐνύπνιος
ἐνῆν	verb	http://data.perseus.org/collections/_ἐν-εἰμί
ἐνῆν	verb	http://data.perseus.org/collections/_ἐν-ἠμί
ἐνῆφθαι	verb	lex104779.1_ἐνάπτω
ἐνῶπα	adverb	lex105995.1_ἐνωπή
ἐξ	preposition	lex102605.1_ἐκ
ἐξάγειν	verb	lex106048.1_ἐξάγω
ἐξάκουστα	adjective	lex106052.1_ἐξάκουστος
ἐξάλλεται	verb	lex106059.1_ἐξάλλομαι
ἐξάπτονται	verb	lex106080.1_ἐξάπτω
ἐξάψας	verb	lex106080.1_ἐξάπτω
ἐξέβαλε	verb	lex102610.1_ἐκβάλλω
ἐξέβαλεν	verb	lex102610.1_ἐκβάλλω
ἐξέθορεν	verb	http://data.perseus.org/collections/_ἐκ-θρῴσκω
ἐξέλαβε	verb	lex103079.1_ἐκλαμβάνω
ἐξέλαβεν	verb	lex103079.1_ἐκλαμβάνω
ἐξέλαβεν	verb	lex103067.1_ἐκλάπτω
ἐξέλασ'	verb	lex106230.1_ἐξαιρέω
ἐξέλασ'	noun	lex106102.1_ἐξέλασις
ἐξέλασ'	verb	lex106556.1_ἐξελαύνω
ἐξέλκει	verb	lex106563.1_ἐξελκέω
ἐξέλκει	verb	lex106106.1_ἐξέλκω
ἐξέπεμψε	verb	lex103263.1_ἐκπέμπω
ἐξέπεσεν	verb	lex103279.1_ἐκπίτνω
ἐξέπιπτε	verb	lex103279.1_ἐκπίτνω
ἐξέπϊπτε	verb	lex103279.1_ἐκπίτνω
ἐξέρηξε	verb	lex103460.1_ἐκρήγνυμι
ἐξέρχομαι	verb	lex106124.1_ἐξέρχομαι
ἐξέστη	verb	lex106147.1_ἐξίστημι
ἐξέτειναν	verb	lex103582.1_ἐκτείνω
ἐξέτεινεν	verb	lex103582.1_ἐκτείνω
ἐξέφυγε	verb	lex103703.1_ἐκφεύγω
ἐξέφυγον	verb	lex103703.1_ἐκφεύγω
ἐξέχει	verb	lex106131.1_ἐξέχω
ἐξέχει	verb	lex103765.1_ἐκχέω
ἐξέχευαν	verb	lex103765.1_ἐκχέω
ἐξέχον	verb	lex106131.1_ἐξέχω
ἐξήγησιν	noun	lex106134.1_ἐξήγησις
ἐξήγησις	noun	lex106134.1_ἐξήγησις
ἐξήλασαν	verb	lex106556.1_ἐξελαύνω
ἐξήλασε	verb	lex106556.1_ἐξελαύνω
ἐξήλατον	adjective	lex106136.1_ἐξήλατος
ἐξήλλαξεν	verb	lex106289.1_ἐξαλλάσσω
ἐξήνεγκε	verb	lex103685.1_ἐκφέρω
ἐξήνεγκεν	verb	lex103685.1_ἐκφέρω
ἐξίασιν	verb	lex113645.1_ἔξειμι2
ἐξίστασαν	verb	lex106147.1_ἐξίστημι
ἐξίστησι	verb	lex106147.1_ἐξίστημι
ἐξίστησι	verb	lex106744.1_ἐξιστάω
ἐξίστησιν	verb	lex106147.1_ἐξίστημι
ἐξίστησιν	verb	lex106744.1_ἐξιστάω
ἐξαίρετον	adjective	lex106232.1_ἐξαιρετός
ἐξαίρετον	verb	lex106162.1_ἐξαίρω
ἐξαίφνης	adverb	lex106166.1_ἐξαίφνης
ἐξαγαγόντες	verb	lex106048.1_ἐξάγω
ἐξαγγέλλειν	verb	lex106171.1_ἐξαγγέλλω
ἐξαιρέτως	adjective	lex106232.1_ἐξαιρετός
ἐξαιρέτῳ	adjective	lex106232.1_ἐξαιρετός
ἐξαιρεῖ	verb	lex106230.1_ἐξαιρέω
ἐξακούεσθαι	verb	lex106259.1_ἐξακούω
ἐξακέονται	verb	lex106248.1_ἐξακέομαι
ἐξαλαπάξαι	verb	lex106277.1_ἐξαλαπάζω
ἐξαλλαγὴ	noun	lex106290.1_ἐξαλλαγή
ἐξαλλαγὴν	noun	lex106290.1_ἐξαλλαγή
ἐξαμβλωθὲν	verb	lex106311.1_ἐξαμβλόω
ἐξαναστήσεται	verb	lex106337.1_ἐξανίστημι
ἐξαπάφοιτ'	verb	lex106410.1_ἐξαπαφίσκω
ἐξαπίνης	adverb	lex106399.1_ἐξαπίνης
ἐξαπατήσειε	verb	lex106404.1_ἐξαπατάω
ἐξαπατηθεῖσα	verb	lex106404.1_ἐξαπατάω
ἐξαπατᾶσθε	verb	lex106404.1_ἐξαπατάω
ἐξαπλώσας	verb	lex106417.1_ἐξαπλόω
ἐξαρίθμησις	noun	lex106441.1_ἐξαρίθμησις
ἐξαρκεῖ	verb	lex106450.1_ἐξαρκέω
ἐξαρκεῖ	adjective	lex106451.1_ἐξαρκής
ἐξαρπάσαι	verb	lex106457.1_ἐξαρπάζω
ἐξείης	verb	lex113650.1_ἔξεστι
ἐξείης	verb	lex106142.1_ἐξίημι
ἐξεδέξαντο	verb	lex102707.1_ἐκδέχομαι
ἐξεδέξαντο	verb	lex102725.1_ἐκδείκνυμι
ἐξεδέξατο	verb	lex102725.1_ἐκδείκνυμι
ἐξεδέξατο	verb	lex102707.1_ἐκδέχομαι
ἐξεδίκησα	verb	lex102757.1_ἐκδικέω
ἐξεδέξαντο	verb	lex102725.1_ἐκδείκνυμι
ἐξεδέξαντο	verb	lex102707.1_ἐκδέχομαι
ἐξειληφέναι	verb	lex103079.1_ἐκλαμβάνω
ἐξειργάσατο	verb	lex106595.1_ἐξεργάζομαι
ἐξελεγχόμενον	verb	lex106550.1_ἐξελέγχω
ἐξελεῖν	verb	lex106230.1_ἐξαιρέω
ἐξεληλυθότων	verb	lex106124.1_ἐξέρχομαι
ἐξεληλυθὼς	verb	lex106124.1_ἐξέρχομαι
ἐξεληλύθει	verb	lex106124.1_ἐξέρχομαι
ἐξελθεῖν	verb	lex106124.1_ἐξέρχομαι
ἐξελθόντες	verb	lex106124.1_ἐξέρχομαι
ἐξελθών	verb	lex106124.1_ἐξέρχομαι
ἐξελθὼν	verb	lex106124.1_ἐξέρχομαι
ἐξελκύσομεν	verb	lex106106.1_ἐξέλκω
ἐξελὼν	verb	lex106230.1_ἐξαιρέω
ἐξενάριζεν	verb	lex106575.1_ἐξεναρίζω
ἐξενάριξεν	verb	lex106575.1_ἐξεναρίζω
ἐξενέγκοι	verb	lex103685.1_ἐκφέρω
ἐξενήνεκται	verb	lex103685.1_ἐκφέρω
ἐξενήνοχε	verb	lex103685.1_ἐκφέρω
ἐξενήνοχεν	verb	lex103685.1_ἐκφέρω
ἐξεναρίζων	verb	lex106575.1_ἐξεναρίζω
ἐξενεχθῆναι	verb	lex103685.1_ἐκφέρω
ἐξενηνέχθαι	verb	lex103685.1_ἐκφέρω
ἐξενηνεγμένα	verb	lex103685.1_ἐκφέρω
ἐξενοδόχησεν	verb	lex48756.1_ξενοδοκέω
ἐξενάριξαν	verb	lex106575.1_ἐξεναρίζω
ἐξενάριξεν	verb	lex106575.1_ἐξεναρίζω
ἐξενήνεκται	verb	lex103685.1_ἐκφέρω
ἐξενήνοχεν	verb	lex103685.1_ἐκφέρω
ἐξενήνοχέ	verb	lex103685.1_ἐκφέρω
ἐξεπλάγη	verb	lex103352.1_ἐκπλήσσω
ἐξεπλήττοντο	verb	lex103352.1_ἐκπλήσσω
ἐξεπληττόμεθα	verb	lex103352.1_ἐκπλήσσω
ἐξερέω	verb	lex106592.1_ἐξερέω
ἐξερέω	verb	lex106590.1_ἐξεράω
ἐξεργαστικώτερον	adjective	lex106600.1_ἐξεργαστικός
ἐξερρίφη	verb	lex103462.1_ἐκρίπτω
ἐξεσύθη	verb	lex103496.1_ἐκσεύομαι
ἐξετέθη	verb	lex103558.1_ἐκτίθημι
ἐξετέταντο	verb	lex103582.1_ἐκτείνω
ἐξετέταντο	verb	lex103582.1_ἐκτείνω
ἐξεφάνη	verb	lex103686.1_ἐκφαίνω
ἐξεφαύλισεν	verb	lex103698.1_ἐκφαυλίζω
ἐξεφώνησε	verb	lex103753.1_ἐκφωνέω
ἐξείνισα	verb	lex48730.1_ξενίζω
ἐξείρυσεν	verb	lex106623.1_ἐξερύω
ἐξεῦρε	verb	lex106651.1_ἐξευρίσκω
ἐξηγήσεις	noun	lex106134.1_ἐξήγησις
ἐξηγεῖται	verb	lex106672.1_ἐξηγέομαι
ἐξηγούμενος	verb	lex106672.1_ἐξηγέομαι
ἐξηγήσατο	verb	lex106672.1_ἐξηγέομαι
ἐξηγήσεις	noun	lex106134.1_ἐξήγησις
ἐξηκόντισεν	verb	lex106256.1_ἐξακοντίζω
ἐξηλέησεν	verb	http://data.perseus.org/collections/_ἐκ-ἐλεάω
ἐξηλέησεν	verb	http://data.perseus.org/collections/_ἐκ-ἐλεέω
ἐξηλλάγη	verb	lex106289.1_ἐξαλλάσσω
ἐξηνέχθη	verb	lex103685.1_ἐκφέρω
ἐξηνέχθησαν	verb	lex103685.1_ἐκφέρω
ἐξηνέχθη	verb	lex103685.1_ἐκφέρω
ἐξηπατῆσθαί	verb	lex106404.1_ἐξαπατάω
ἐξηρτημέναι	verb	lex106459.1_ἐξαρτάω
ἐξηρτημένος	verb	lex106459.1_ἐξαρτάω
ἐξητασμέναις	verb	lex106626.1_ἐξετάζω
ἐξιθύνει	verb	lex106718.1_ἐξιθύνω
ἐξιλάσκεσθαι	verb	lex106725.1_ἐξιλάσκομαι
ἐξισούμενος	verb	lex106751.1_ἐξισόω
ἐξιόντας	verb	lex113650.1_ἔξεστι
ἐξιόντας	verb	lex113645.1_ἔξειμι2
ἐξιόντας	verb	lex113650.1_ἔξεστι
ἐξιόντας	verb	lex113645.1_ἔξειμι2
ἐξιὼν	verb	lex113650.1_ἔξεστι
ἐξιὼν	verb	lex113645.1_ἔξειμι2
ἐξολκὴν	noun	lex106821.1_ἐξολκή
ἐξονομήνῃς	verb	lex106854.1_ἐξονομαίνω
ἐξορθοῖ	verb	lex106874.1_ἐξορθόω
ἐξουσίαν	noun	lex106917.1_ἐξουσία
ἐξουσίᾳ	noun	lex106917.1_ἐξουσία
ἐξοχάς	noun	lex106927.1_ἐξοχή
ἐξοχῆς	noun	lex106927.1_ἐξοχή
ἐξοχῶ	verb	http://data.perseus.org/collections/_ἐκ-ὀχέω
ἐξοχῶ	verb	http://data.perseus.org/collections/_ἐκ-ὀχάομαι
ἐξοῦ	verb	lex48682.1_ξέω
ἐξοῦ	verb	lex106142.1_ἐξίημι
ἐξυλίσατο	verb	lex48921.1_ξυλίζομαι
ἐξυλίσατο	verb	lex106951.1_ἐξυλίζω
ἐξυπνωκότα	verb	http://data.perseus.org/collections/_ἐκ-ὑπνόω
ἐξωργίσθη	verb	lex106870.1_ἐξοργίζω
ἐξόδου	noun	lex113655.1_ἔξοδος1
ἐξόδου	adjective	lex113656.1_ἔξοδος2
ἐξόχως	adjective	lex113674.1_ἔξοχος
ἐξύβρισας	verb	lex106939.1_ἐξυβρίζω
ἐξώρμων	verb	lex106882.1_ἐξορμάω
ἐξέβρασεν	verb	lex102661.1_ἐκβράζω
ἐξέθηκαν	verb	lex103558.1_ἐκτίθημι
ἐξέκοψε	verb	lex103056.1_ἐκκόπτω
ἐξέλαβεν	verb	lex103067.1_ἐκλάπτω
ἐξέλαβεν	verb	lex103079.1_ἐκλαμβάνω
ἐξέλκουσιν	verb	lex106106.1_ἐξέλκω
ἐξέπιπτεν	verb	lex103279.1_ἐκπίτνω
ἐξέφερεν	verb	lex103685.1_ἐκφέρω
ἐξέχοντα	verb	lex106131.1_ἐξέχω
ἐξήνεγκαν	verb	lex103685.1_ἐκφέρω
ἐξὸν	verb	lex113650.1_ἔξεστι
ἐξόδου	noun	lex113655.1_ἔξοδος1
ἐξόδου	adjective	lex113656.1_ἔξοδος2
ἐξόχως	adjective	lex113674.1_ἔξοχος
ἐξῄεσαν	verb	lex113645.1_ἔξειμι2
ἐξῆλθεν	verb	lex106124.1_ἐξέρχομαι
ἐξῆπτο	verb	lex106080.1_ἐξάπτω
ἐξῆς	verb	lex113650.1_ἔξεστι
ἐοικυίας	verb	lex113685.1_ἔοικα
ἐοικός	verb	lex113685.1_ἔοικα
ἐοικώς	verb	lex113685.1_ἔοικα
ἐοικὸς	verb	lex113685.1_ἔοικα
ἐοικότα	verb	lex113685.1_ἔοικα
ἐοικὼς	verb	lex113685.1_ἔοικα
ἐοῦσα	verb	lex23940.1_εἰμί
ἐπ'	preposition	lex107170.1_ἐπί
ἐπάγει	verb	lex107061.1_ἐπάγω
ἐπάγειν	verb	lex107061.1_ἐπάγω
ἐπάγεται	verb	lex107061.1_ἐπάγω
ἐπάλληλοι	adjective	lex107071.1_ἐπάλληλος
ἐπάλλου	verb	lex50017.1_πάλλω
ἐπάλλου	verb	lex111466.1_ἐφάλλομαι
ἐπάλξεις	noun	lex113698.1_ἔπαλξις
ἐπάμυνον	verb	lex107798.1_ἐπαμύνω
ἐπάνω	adverb	lex107091.1_ἐπάνω
ἐπάρας	verb	lex107630.1_ἐπαίρω
ἐπάσαντο	verb	lex53565.1_πατέομαι
ἐπάσαντο	verb	lex50213.1_πάσσω
ἐπάσαντο	verb	lex111500.1_ἐφήδομαι
ἐπάσαντο	verb	lex50140.1_πάομαι
ἐπάτησεν	verb	lex53567.1_πατέω
ἐπέβαινον	verb	lex108406.1_ἐπιβαίνω
ἐπέβαλλε	verb	lex108396.1_ἐπιβάλλω
ἐπέγημεν	verb	lex108508.1_ἐπιγαμέω
ἐπέγημεν	verb	lex50372.1_πέσσω
ἐπέγκειται	verb	http://data.perseus.org/collections/_ἐπί-ἔγκειμαι
ἐπέγρετο	verb	lex108110.1_ἐπεγείρω
ἐπέεσσι	noun	lex113735.1_ἔπος
ἐπέεσσιν	noun	lex113735.1_ἔπος
ἐπέθεσαν	verb	lex110177.1_ἐπιτίθημι
ἐπέθηκαν	verb	lex110177.1_ἐπιτίθημι
ἐπέκεινα	adverb	lex107121.1_ἐπέκεινα
ἐπέκειντο	verb	lex107266.1_ἐπίκειμαι
ἐπέκειτο	verb	lex107266.1_ἐπίκειμαι
ἐπέκρουον	verb	lex109167.1_ἐπικρούω
ἐπέκτασιν	noun	lex107127.1_ἐπέκτασις
ἐπέκτασις	noun	lex107127.1_ἐπέκτασις
ἐπέμυξαν	verb	lex109468.1_ἐπιμύζω
ἐπένθεσιν	noun	lex107138.1_ἐπένθεσις
ἐπέοικε	verb	lex107144.1_ἐπέοικε
ἐπέπιπτον	verb	lex109590.1_ἐπιπίπτω
ἐπέρεισε	verb	lex108285.1_ἐπερείδω
ἐπέρχεσθαι	verb	lex107149.1_ἐπέρχομαι
ἐπέσεισεν	verb	lex109836.1_ἐπισείω
ἐπέσθωσαν	verb	lex111510.1_ἐφίημι
ἐπέσσυται	verb	lex109840.1_ἐπισεύω
ἐπέστη	verb	lex111515.1_ἐφίστημι
ἐπέσχεν	verb	lex110732.1_ἐπώχατο
ἐπέσχον	verb	lex110732.1_ἐπώχατο
ἐπέταξεν	verb	lex55913.1_πετάζω
ἐπέταξεν	verb	lex110153.1_ἐπιτάσσω
ἐπέτελλ'	verb	lex110162.1_ἐπιτέλλω
ἐπέτελλεν	verb	lex110162.1_ἐπιτέλλω
ἐπέτοντο	verb	lex50383.1_πέτομαι
ἐπέτρεπε	verb	lex110285.1_ἐπιτρέπω
ἐπέτρεπεν	verb	lex110285.1_ἐπιτρέπω
ἐπέτρεψεν	verb	lex110285.1_ἐπιτρέπω
ἐπέτυχεν	verb	lex110335.1_ἐπιτυγχάνω
ἐπέφνομεν	verb	lex27566.1_θείνω
ἐπέφυγον	verb	http://data.perseus.org/collections/_ἐπί-φεύγω
ἐπέχει	verb	http://data.perseus.org/collections/_ἐπώχατο
ἐπέχει	verb	http://data.perseus.org/collections/_ἐπιχέω
ἐπέχειν	verb	lex110732.1_ἐπώχατο
ἐπέχεον	verb	http://data.perseus.org/collections/_ἐπιχέω
ἐπέχουσα	verb	lex110732.1_ἐπώχατο
ἐπέχουσαν	verb	lex110732.1_ἐπώχατο
ἐπέχουσιν	verb	lex110732.1_ἐπώχατο
ἐπήγαγεν	verb	http://data.perseus.org/collections/_ἐπάγω
ἐπήγνυτο	verb	http://data.perseus.org/collections/_ἐπάγνυμι
ἐπήγνυτο	verb	http://data.perseus.org/collections/_πήγνυμι
ἐπήν	conjunction	http://data.perseus.org/collections/_ἐπήν
ἐπήνεγκε	verb	http://data.perseus.org/collections/_ἐπιφέρω
ἐπήνεγκεν	verb	http://data.perseus.org/collections/_ἐπιφέρω
ἐπήτρϊμος	adjective	http://data.perseus.org/collections/_ἐπήτριμος
ἐπί	preposition	http://data.perseus.org/collections/_ἐπί
ἐπίβουλον	adjective	http://data.perseus.org/collections/_ἐπίβουλος
ἐπίγεια	adjective	http://data.perseus.org/collections/_ἐπίγειος
ἐπίγειον	adjective	http://data.perseus.org/collections/_ἐπίγειος
ἐπίγνωσιν	noun	http://data.perseus.org/collections/_ἐπίγνωσις
ἐπίηρα	noun	http://data.perseus.org/collections/_ἐπίηρα
ἐπίθετα	adjective	http://data.perseus.org/collections/_ἐπίθετος
ἐπίθετα	noun	http://data.perseus.org/collections/_ἐπίθετον
ἐπίθετον	adjective	http://data.perseus.org/collections/_ἐπίθετος
ἐπίθετον	verb	http://data.perseus.org/collections/_πείθω
ἐπίθετον	verb	http://data.perseus.org/collections/_ἐπιτίθημι
ἐπίθετον	noun	http://data.perseus.org/collections/_ἐπίθετον
ἐπίθημα	noun	http://data.perseus.org/collections/_ἐπίθημα
ἐπίκειται	verb	http://data.perseus.org/collections/_ἐπίκειμαι
ἐπίκοινον	adjective	http://data.perseus.org/collections/_ἐπίκοινος
ἐπίκουροι	noun	http://data.perseus.org/collections/_ἐπίκουρος
ἐπίκρισιν	noun	http://data.perseus.org/collections/_ἐπίκρισις
ἐπίλαμψιν	noun	http://data.perseus.org/collections/_ἐπίλαμψις
ἐπίνοια	noun	http://data.perseus.org/collections/_ἐπίνοια
ἐπίορκον	adjective	http://data.perseus.org/collections/_ἐπίορκος
ἐπίπαν	adverb	http://data.perseus.org/collections/_ἐπίπαν
ἐπίπλαστον	adjective	http://data.perseus.org/collections/_ἐπίπλαστος
ἐπίπληξις	noun	http://data.perseus.org/collections/_ἐπίπληξις
ἐπίπλουν	verb	http://data.perseus.org/collections/_ἐπιπλέω
ἐπίπλουν	noun	http://data.perseus.org/collections/_ἐπίπλοος2
ἐπίπλουν	verb	http://data.perseus.org/collections/_πίμπλημι
ἐπίρρη	verb	http://data.perseus.org/collections/_ἐπιρρέω
ἐπίρρημα	noun	http://data.perseus.org/collections/_ἐπίρρημα
ἐπίσημοι	adjective	http://data.perseus.org/collections/_ἐπίσημος
ἐπίσκοπος	noun	http://data.perseus.org/collections/_ἐπίσκοπος1
ἐπίσκοπος	adjective	http://data.perseus.org/collections/_ἐπίσκοπος2
ἐπίσταιτο	verb	http://data.perseus.org/collections/_ἐπίσταμαι
ἐπίσταιτο	verb	http://data.perseus.org/collections/_ἐφίστημι
ἐπίστασαὶ	verb	http://data.perseus.org/collections/_ἐπιστάζω
ἐπίστασαὶ	verb	http://data.perseus.org/collections/_ἐφίστημι
ἐπίστασαὶ	verb	http://data.perseus.org/collections/_ἐπίσταμαι
ἐπίστασθαι	verb	http://data.perseus.org/collections/_ἐπίσταμαι
ἐπίστασθαι	verb	http://data.perseus.org/collections/_ἐφίστημι
ἐπίσταται	verb	http://data.perseus.org/collections/_ἐφίστημι
ἐπίσταται	noun	http://data.perseus.org/collections/_ἐπιστάτη
ἐπίσταται	verb	http://data.perseus.org/collections/_ἐπίσταμαι
ἐπίσχοιμι	verb	lex110732.1_ἐπώχατο
ἐπίσχοιμι	verb	http://data.perseus.org/collections/_ἐπίσχω
ἐπίσχοις	verb	http://data.perseus.org/collections/_ἐπίσχω
ἐπίσχοις	verb	lex110732.1_ἐπώχατο
ἐπίσχυες	verb	http://data.perseus.org/collections/_ἐπισχύω
ἐπίτασιν	noun	http://data.perseus.org/collections/_ἐπίτασις
ἐπίτασις	noun	http://data.perseus.org/collections/_ἐπίτασις
ἐπίτευγμα	noun	http://data.perseus.org/collections/_ἐπίτευγμα
ἐπίτηδες	adverb	http://data.perseus.org/collections/_ἐπίτηδες
ἐπίτροπον	adjective	http://data.perseus.org/collections/_ἐπίτροπος
ἐπίφασις	noun	http://data.perseus.org/collections/_ἐπίφασις
ἐπίφοβε	adjective	http://data.perseus.org/collections/_ἐπίφοβος
ἐπίφοβον	adjective	http://data.perseus.org/collections/_ἐπίφοβος
ἐπίφοβος	adjective	http://data.perseus.org/collections/_ἐπίφοβος
ἐπαΐξας	verb	http://data.perseus.org/collections/_ἐπαίσσω
ἐπαΐξας	verb	http://data.perseus.org/collections/_ἐπᾴσσω
ἐπαίνου	noun	http://data.perseus.org/collections/_ἔπαινος
ἐπαίνων	noun	http://data.perseus.org/collections/_ἔπαινος
ἐπαίνῳ	noun	http://data.perseus.org/collections/_ἔπαινος
ἐπαίρει	verb	http://data.perseus.org/collections/_ἐπαίρω
ἐπαίρει	verb	http://data.perseus.org/collections/_ἐφαιρέομαι
ἐπαίρειν	verb	http://data.perseus.org/collections/_ἐπαίρω
ἐπαίρονται	verb	http://data.perseus.org/collections/_ἐπαίρω
ἐπαίτιοι	adjective	http://data.perseus.org/collections/_ἐπαίτιος
ἐπαγαγεῖν	verb	http://data.perseus.org/collections/_ἐπάγω
ἐπαγαγὼν	verb	http://data.perseus.org/collections/_ἐπάγω
ἐπαγγέλλεσθαι	verb	http://data.perseus.org/collections/_ἐπαγγέλλω
ἐπαγγέλλεται	verb	http://data.perseus.org/collections/_ἐπαγγέλλω
ἐπαγγελλόμενον	verb	http://data.perseus.org/collections/_ἐπαγγέλλω
ἐπαγγελία	noun	http://data.perseus.org/collections/_ἐπαγγελία
ἐπαγομένη	verb	http://data.perseus.org/collections/_ἐπάγω
ἐπαγωγῇ	noun	http://data.perseus.org/collections/_ἐπαγωγή
ἐπαγωγῇ	noun	http://data.perseus.org/collections/_ἐπαγωγεύς
ἐπαγόμενα	verb	http://data.perseus.org/collections/_ἐπάγω
ἐπαγόμενος	verb	http://data.perseus.org/collections/_ἐπάγω
ἐπαιγίζων	verb	http://data.perseus.org/collections/_ἐπαιγίζω
ἐπαιδεύθη	verb	http://data.perseus.org/collections/_παιδεύω
ἐπαινέσας	verb	http://data.perseus.org/collections/_ἐπαινέω
ἐπαινήσαντες	verb	http://data.perseus.org/collections/_ἐπαινέω
ἐπαινήσειεν	verb	http://data.perseus.org/collections/_ἐπαινέω
ἐπαινεῖν	verb	http://data.perseus.org/collections/_ἐπαινέω
ἐπαινούμεναι	verb	http://data.perseus.org/collections/_ἐπαινέω
ἐπαινούμενος	verb	http://data.perseus.org/collections/_ἐπαινέω
ἐπαινούμενος	verb	http://data.perseus.org/collections/_ἐπαινέω
ἐπαινοῦντα	verb	http://data.perseus.org/collections/_ἐπαινέω
ἐπαινὴν	adjective	http://data.perseus.org/collections/_ἐπαινός
ἐπαισθόμενοι	verb	http://data.perseus.org/collections/_ἐπαισθάνομαι
ἐπαισθάνεσθαι	verb	http://data.perseus.org/collections/_ἐπαισθάνομαι
ἐπαιτιῶνται	verb	http://data.perseus.org/collections/_ἐπαιτιάομαι
ἐπακολουθεῖ	verb	http://data.perseus.org/collections/_ἐπακολουθέω
ἐπακολουθεῖν	verb	http://data.perseus.org/collections/_ἐπακολουθέω
ἐπακούσαι	verb	http://data.perseus.org/collections/_ἐπακούω
ἐπακούεις	verb	http://data.perseus.org/collections/_ἐπακούω
